DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon
196385,196385,0.500000,MiniPAT,2.04w,06:08:47 03-Feb-2020,06:08:48 03-Feb-2020,1,1,21.8779,38.0382,CRC,,,1,704,3.340,2.661,0.215,24.15,1.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,40,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,06:14:45 03-Feb-2020,06:14:46 03-Feb-2020,1,3,21.8777,38.0408,CRC,,,1,704,3.359,2.661,0.200,24.15,1.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,40,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,15:22:35 03-Feb-2020,15:22:36 03-Feb-2020,1,2,21.8679,37.9834,CRC,,,1,1216,3.379,2.661,0.166,24.30,0.5,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,40,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,18:14:14 04-Feb-2020,18:14:15 04-Feb-2020,1,2,21.6774,37.7670,CRC,,,1,2752,3.359,2.661,0.185,24.30,1.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,05:44:47 05-Feb-2020,05:44:48 05-Feb-2020,1,1,21.6452,37.6083,CRC,,,1,3520,3.379,2.661,0.156,24.15,0.5,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,17:56:32 05-Feb-2020,17:56:33 05-Feb-2020,1,3,21.6019,37.5088,CRC,,,1,4288,3.398,2.192,0.166,24.10,1.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,18:17:26 05-Feb-2020,18:17:27 05-Feb-2020,1,,,,CRC,,,1,4288,3.359,2.661,0.181,24.10,1.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,18:38:19 05-Feb-2020,18:38:20 05-Feb-2020,1,2,21.5982,37.5039,CRC,,,1,4288,3.438,2.192,0.117,24.10,1.5,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,03:41:00 06-Feb-2020,03:41:01 06-Feb-2020,1,3,21.5935,37.3623,CRC,,,1,4800,3.340,2.661,0.200,23.90,1.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,04:43:37 06-Feb-2020,04:43:38 06-Feb-2020,1,2,21.5888,37.3457,CRC,,,1,4928,3.359,2.661,0.195,23.90,1.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,14:48:37 06-Feb-2020,14:48:38 06-Feb-2020,1,1,21.4978,37.3040,CRC,,,1,5440,3.438,2.192,0.107,24.05,1.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,08:13:35 07-Feb-2020,08:13:36 07-Feb-2020,1,3,21.3905,37.3732,CRC,,,1,6592,3.398,2.192,0.166,24.00,1.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,14:50:27 07-Feb-2020,14:50:28 07-Feb-2020,1,2,21.3282,37.3874,CRC,,,1,6976,3.457,2.192,0.083,24.15,1.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,06:51:18 08-Feb-2020,06:51:19 08-Feb-2020,1,1,21.1969,37.4690,CRC,,,1,7872,3.359,2.661,0.185,24.05,1.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,07:54:08 08-Feb-2020,07:54:09 08-Feb-2020,1,3,21.1807,37.4802,CRC,,,1,8000,3.359,2.661,0.205,24.05,1.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,17:19:06 08-Feb-2020,17:19:07 08-Feb-2020,1,1,21.0588,37.5327,CRC,,,1,8512,3.379,2.661,0.161,23.90,1.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,16:01:24 09-Feb-2020,16:01:25 09-Feb-2020,1,2,21.0200,37.7844,CRC,,,1,9920,3.418,2.192,0.151,25.15,1.5,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,04:14:56 10-Feb-2020,04:14:57 10-Feb-2020,1,1,21.0052,37.9793,CRC,,,1,10688,3.438,2.192,0.142,25.30,1.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,04:35:53 10-Feb-2020,04:35:54 10-Feb-2020,1,1,21.0075,37.9834,CRC,,,1,10688,3.457,2.192,0.117,25.30,1.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,15:46:20 10-Feb-2020,15:46:21 10-Feb-2020,1,2,20.9654,38.1151,CRC,,,1,11328,3.418,2.192,0.166,25.25,1.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,19:57:54 10-Feb-2020,19:57:55 10-Feb-2020,1,2,20.9340,38.1579,CRC,,,1,11584,3.477,2.192,0.073,25.10,1.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,18:42:34 11-Feb-2020,18:42:35 11-Feb-2020,1,0,20.7438,38.2367,CRC,,,1,12992,3.379,2.661,0.185,25.05,1.5,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,05:31:42 12-Feb-2020,05:31:43 12-Feb-2020,1,2,20.6673,38.2978,CRC,,,1,13632,3.477,2.192,0.073,25.00,1.5,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,15:39:57 12-Feb-2020,15:39:58 12-Feb-2020,1,0,20.6112,38.3052,CRC,,,1,14272,3.398,2.661,0.151,24.85,2.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,16:42:59 12-Feb-2020,16:43:00 12-Feb-2020,1,,,,CRC,,,1,14272,3.379,2.661,0.181,24.80,1.5,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,03:53:02 13-Feb-2020,03:53:03 13-Feb-2020,1,2,20.5844,38.4198,CRC,,,1,14912,3.438,2.192,0.132,24.85,1.5,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,15:01:30 13-Feb-2020,15:01:31 13-Feb-2020,1,3,20.6191,38.4876,CRC,,,1,15680,3.398,2.192,0.166,25.10,1.5,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,02:10:54 14-Feb-2020,02:10:55 14-Feb-2020,1,3,20.5534,38.6734,CRC,,,1,16320,3.359,2.661,0.181,25.00,1.5,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,07:03:41 14-Feb-2020,07:03:42 14-Feb-2020,1,3,20.4646,38.6796,CRC,,,1,16576,3.398,2.192,0.156,25.05,1.5,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,07:24:31 14-Feb-2020,07:24:32 14-Feb-2020,1,3,20.4558,38.6754,CRC,,,1,16576,3.379,2.661,0.156,25.10,1.5,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,13:18:55 14-Feb-2020,13:18:56 14-Feb-2020,1,2,20.3670,38.5851,CRC,,,1,16960,3.457,2.192,0.093,25.95,0.5,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,18:31:26 14-Feb-2020,18:31:27 14-Feb-2020,1,2,20.3766,38.4795,CRC,,,1,17344,3.398,2.192,0.166,25.70,1.5,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,20:16:06 14-Feb-2020,20:16:07 14-Feb-2020,1,1,20.3845,38.4421,CRC,,,1,17344,3.398,2.192,0.151,25.60,1.5,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,01:50:36 15-Feb-2020,01:50:37 15-Feb-2020,1,2,20.4283,38.3544,CRC,,,1,17728,3.457,2.192,0.073,25.40,1.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,06:42:18 15-Feb-2020,06:42:19 15-Feb-2020,1,2,20.4800,38.2888,CRC,,,1,17984,3.379,2.192,0.161,25.50,2.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,07:03:08 15-Feb-2020,07:03:09 15-Feb-2020,1,2,20.4842,38.2929,CRC,,,1,17984,3.418,2.192,0.127,25.55,0.5,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,17:07:54 15-Feb-2020,17:07:55 15-Feb-2020,1,3,20.5632,38.2391,CRC,,,1,18624,3.379,2.192,0.161,25.70,2.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,18:10:21 15-Feb-2020,18:10:22 15-Feb-2020,1,3,20.5716,38.2321,CRC,,,1,18752,3.379,2.192,0.156,25.70,1.5,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,03:54:03 16-Feb-2020,03:54:04 16-Feb-2020,1,2,20.6597,38.2224,CRC,,,1,19264,3.359,2.192,0.161,25.40,1.5,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,15:01:30 16-Feb-2020,15:01:31 16-Feb-2020,1,0,20.7605,38.2490,CRC,,,1,20032,3.438,2.192,0.068,26.10,0.5,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,16:45:36 16-Feb-2020,16:45:37 16-Feb-2020,1,3,20.7817,38.2774,CRC,,,1,20032,3.242,2.661,0.205,26.10,1.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,03:52:14 17-Feb-2020,03:52:15 17-Feb-2020,1,3,20.7533,38.3339,CRC,,,1,20800,3.301,2.192,0.142,25.70,1.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,08:02:49 17-Feb-2020,08:02:50 17-Feb-2020,1,2,20.7211,38.3457,CRC,,,1,21056,3.262,2.192,0.161,25.50,1.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,14:39:27 17-Feb-2020,14:39:28 17-Feb-2020,1,2,20.6761,38.3403,CRC,,,1,21440,3.164,2.661,0.176,25.20,1.5,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,18:49:39 17-Feb-2020,18:49:40 17-Feb-2020,1,3,20.6650,38.3453,CRC,,,1,21696,3.242,2.661,0.151,25.15,1.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,19:10:33 17-Feb-2020,19:10:34 17-Feb-2020,1,3,20.6652,38.3467,CRC,,,1,21696,3.281,2.192,0.146,25.15,1.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,06:20:53 18-Feb-2020,06:20:54 18-Feb-2020,1,A,20.6895,38.3481,CRC,,,1,22336,3.047,2.661,0.185,25.15,2.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,07:44:25 18-Feb-2020,07:44:26 18-Feb-2020,1,3,20.6878,38.3582,CRC,,,1,22464,3.164,2.192,0.156,25.20,1.5,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,17:29:41 18-Feb-2020,17:29:42 18-Feb-2020,1,3,20.6750,38.4358,CRC,,,1,22976,3.125,2.192,0.156,25.10,1.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,18:53:10 18-Feb-2020,18:53:11 18-Feb-2020,1,2,20.6663,38.4516,CRC,,,1,23104,2.949,2.661,0.200,25.10,1.5,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,15:25:48 19-Feb-2020,15:25:49 19-Feb-2020,1,2,20.3921,38.3286,CRC,,,1,24384,3.047,2.192,0.161,25.25,1.5,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
196385,196385,0.500000,MiniPAT,2.04w,17:10:54 19-Feb-2020,17:10:55 19-Feb-2020,1,,,,CRC,,,1,24384,3.223,2.192,0.088,25.25,1.0,,,,1,Premature,01:00:00 03-Feb-2020,0,270.000000,0,,,,,,,,,64,,,,,,,,
