DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
196385,196385,0.500000,Transmission,MiniPAT,TATLIMITS,,,,,,,,,,5.000000,8.000000,11.000000,14.000000,17.000000,20.000000,23.000000,26.000000,28.000000,30.000000,32.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,10:00:00 11-Jan-2020,1.000000,2,,,,,9,100,0,0,0,0,0,0,98,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,00:00:00 12-Jan-2020,1.000000,1,,,,,9,100,0,0,0,0,0,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,00:00:00 13-Jan-2020,1.000000,1,,,,,9,100,0,0,0,0,0,0,81.8,18.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,00:00:00 14-Jan-2020,1.000000,5,,,,,9,100,0,0,0,0,0,0,66.7,33.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,00:00:00 15-Jan-2020,1.000000,3,,,,,9,100,0,0,0,0,0,0,58.6,41.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,00:00:00 16-Jan-2020,1.000000,3,,,,,9,100,0,0,0,0,0,0,51.5,48.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,00:00:00 17-Jan-2020,1.000000,3,,,,,9,100,0,0,0,0,0,0,50.5,49.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,00:00:00 18-Jan-2020,1.000000,4,,,,,9,100,0,0,0,0,0,0,57.6,42.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,00:00:00 20-Jan-2020,1.000000,3,,,,,9,100,0,0,0,0,0,0,49.5,50.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,00:00:00 21-Jan-2020,1.000000,1,,,,,9,100,0,0,0,0,0,0,52.5,47.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,00:00:00 22-Jan-2020,1.000000,3,,,,,9,100,0,0,0,0,0,0,51.5,48.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,00:00:00 23-Jan-2020,1.000000,2,,,,,9,100,0,0,0,0,0,0,52.5,47.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,00:00:00 25-Jan-2020,1.000000,3,,,,,9,100,0,0,0,0,0,0,65.7,34.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,00:00:00 26-Jan-2020,1.000000,3,,,,,9,100,0,0,0,0,0,0,66.7,33.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,00:00:00 27-Jan-2020,1.000000,1,,,,,9,100,0,0,0,0,0,0,66.7,33.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,00:00:00 30-Jan-2020,1.000000,2,,,,,9,100,0,0,0,0,0,0,86.9,13.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,00:00:00 31-Jan-2020,1.000000,4,,,,,9,100,0,0,0,0,0,0,2.0,98.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,00:00:00 01-Feb-2020,1.000000,2,,,,,9,100,0,0,0,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,00:00:00 02-Feb-2020,1.000000,2,,,,,9,100,0,0,0,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAT,00:00:00 03-Feb-2020,1.000000,3,,,,,9,100,0,0,0,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TADLIMITS,,,,,,,,,,2.000000,10.000000,20.000000,50.000000,100.000000,200.000000,300.000000,400.000000,500.000000,700.000000,1000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAD,10:00:00 11-Jan-2020,1.000000,2,,,,,10,100,1.0,1.0,1.0,1.0,1.0,80.8,14.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAD,00:00:00 12-Jan-2020,1.000000,1,,,,,10,100,0,0,0,0,0,27.3,71.7,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAD,00:00:00 13-Jan-2020,1.000000,1,,,,,10,100,0,0,0,3.1,10.3,15.5,63.9,7.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAD,00:00:00 14-Jan-2020,1.000000,5,,,,,10,100,0,0,0,1.0,30.2,11.5,38.5,15.6,3.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAD,00:00:00 15-Jan-2020,1.000000,3,,,,,10,100,0,0,0,3.1,35.1,11.3,16.5,12.4,1.0,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAD,00:00:00 16-Jan-2020,1.000000,3,,,,,10,100,0,0,0,1.0,37.5,11.5,43.8,6.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAD,00:00:00 17-Jan-2020,1.000000,3,,,,,10,100,0,0,0,1.0,36.4,13.1,49.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAD,00:00:00 18-Jan-2020,1.000000,4,,,,,10,100,0,0,0,1.0,9.1,42.4,47.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAD,00:00:00 20-Jan-2020,1.000000,3,,,,,10,100,0,0,0,1.0,32.3,23.2,43.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAD,00:00:00 21-Jan-2020,1.000000,1,,,,,10,100,0,0,0,0,16.3,34.7,49.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAD,00:00:00 22-Jan-2020,1.000000,3,,,,,10,100,0,0,0,6.1,32.3,11.1,49.5,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAD,00:00:00 23-Jan-2020,1.000000,2,,,,,10,100,0,0,0,6.1,41.4,3.0,49.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAD,00:00:00 25-Jan-2020,1.000000,3,,,,,10,100,0,0,0,0,10.1,38.4,50.5,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAD,00:00:00 26-Jan-2020,1.000000,3,,,,,10,100,0,0,0,1.0,15.2,43.4,40.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAD,00:00:00 27-Jan-2020,1.000000,1,,,,,10,100,0,0,0,1,27,27,44,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAD,00:00:00 30-Jan-2020,1.000000,2,,,,,10,100,0,1.0,1.0,4.0,6.1,2.0,1.0,1.0,1.0,82.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAD,00:00:00 31-Jan-2020,1.000000,4,,,,,10,100.000000,91.5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAD,00:00:00 01-Feb-2020,1.000000,2,,,,,10,100,99,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAD,00:00:00 02-Feb-2020,1.000000,2,,,,,10,100,99,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196385,196385,0.500000,Transmission,MiniPAT,TAD,00:00:00 03-Feb-2020,1.000000,3,,,,,10,100,100,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
