Index,DeployID,Ptt,DepthSensor,Source,Instr,Day,Time,Time Offset,Count,InitLocQ,InitTime,InitLat,InitLon,Deepest,SSTTime,SSTDepth,SSTTemp,Type,Delta,MinDepth,MaxDepth,AttenShallow,AttenDeep,TravelMetric,FoundPrevious,K,LL0,Depth0,LL1,Depth1,LL2,Depth2,LL3,Depth3,LL4,Depth4,LL5,Depth5,LL6,Depth6,LL7,Depth7,LL8,Depth8,LL9,Depth9,LL10,Depth10,LL11,Depth11
,"196385",196385,0.500000,Transmission,MiniPAT,11-Jan-2020,10:00:00,1,,,,,,,,,,Begin
,"196385",196385,0.500000,Transmission,MiniPAT,03-Feb-2020,01:00:00,1,,Argos-3,2020-02-03 18:38:00,21.8493,37.9637,,,,,End
0,"196385",196385,0.500000,Transmission,MiniPAT,12-Jan-2020,03:53:45,1,38,,,,,313,01:00:00 12-Jan-2020,32,22.8,Dawn,300,176,304,,,0,,4540,125,,133,,140,,145,,150,,154,,156,,158,,161,
1,"196385",196385,0.500000,Transmission,MiniPAT,12-Jan-2020,14:40:00,1,38,,,,,360,01:00:00 12-Jan-2020,32,22.8,Dusk,300,208,240,,,0,,13759,158,,155,,152,,148,,143,,137,,129,,123,,121,
2,"196385",196385,0.500000,Transmission,MiniPAT,13-Jan-2020,16:35:00,1,37,,,,,496,00:00:00 14-Jan-2020,32,25.8,Dusk,300,48,48,,,0,,55869,146,,141,,136,,139,,91,,55,,54,,56,,56,
3,"196385",196385,0.500000,Transmission,MiniPAT,14-Jan-2020,03:38:45,1,37,,,,,496,00:00:00 14-Jan-2020,32,25.8,Dawn,300,176,272,,,0,,64025,92,,103,,115,,124,,132,,139,,144,,149,,153,
4,"196385",196385,0.500000,Transmission,MiniPAT,15-Jan-2020,03:30:00,1,35,,,,,632,01:00:00 15-Jan-2020,31,25.5,Dawn,450,80,272,,,0,,4639,75,,82,,91,,104,,116,,125,,133,,137,,141,
5,"196385",196385,0.500000,Transmission,MiniPAT,15-Jan-2020,16:28:45,1,35,,,,,336,01:00:00 15-Jan-2020,31,25.5,Dusk,300,48,80,,,0,,15315,154,,153,,154,,152,,125,,85,,67,,52,,50,
6,"196385",196385,0.500000,Transmission,MiniPAT,17-Jan-2020,03:27:30,1,29,,,,,288,01:00:00 17-Jan-2020,21,25.4,Dawn,300,80,272,,,0,,52362,72,,74,,78,,83,,89,,96,,103,,110,,116,
7,"196385",196385,0.500000,Transmission,MiniPAT,18-Jan-2020,01:57:30,1,29,,,,,272,01:00:00 17-Jan-2020,21,25.4,Dusk,300,48,112,,,0,,23005,103,,64,,64,,101,,80,,64,,93,,111,,64,
8,"196385",196385,0.500000,Transmission,MiniPAT,21-Jan-2020,03:55:00,1,36,,,,,293,01:00:00 21-Jan-2020,28,25.3,Dawn,300,208,208,,,0,,7474,98,,106,,112,,117,,122,,125,,127,,128,,131,
9,"196385",196385,0.500000,Transmission,MiniPAT,21-Jan-2020,14:50:00,1,36,,,,,,01:00:00 21-Jan-2020,28,25.3,Dusk,300,208,240,,,0,,64139,128,,125,,122,,118,,112,,105,,97,,89,,103,
10,"196385",196385,0.500000,Transmission,MiniPAT,23-Jan-2020,04:03:45,1,39,,,,,264,02:00:00 23-Jan-2020,21,24.4,Dawn,300,208,240,,,0,,19449,137,,144,,149,,153,,156,,158,,160,,162,,163,
11,"196385",196385,0.500000,Transmission,MiniPAT,23-Jan-2020,16:27:30,1,39,,,,,,02:00:00 23-Jan-2020,21,24.4,Dusk,300,48,80,,,0,,14095,128,,120,,133,,123,,82,,51,,50,,52,,55,
12,"196385",196385,0.500000,Transmission,MiniPAT,26-Jan-2020,03:08:45,1,30,,,,,272,03:00:00 26-Jan-2020,32,24.5,Dusk,300,80,144,,,0,,49569,126,,121,,129,,122,,93,,76,,81,,88,,96,
13,"196385",196385,0.500000,Transmission,MiniPAT,26-Jan-2020,03:43:45,1,30,,,,,272,03:00:00 26-Jan-2020,32,24.5,Dawn,300,112,240,,,0,,48800,88,,96,,106,,115,,123,,130,,135,,139,,143,
14,"196385",196385,0.500000,Transmission,MiniPAT,27-Jan-2020,15:00:00,1,33,,,,,,23:00:00 27-Jan-2020,24,23.9,Dusk,300,176,208,,,0,,4802,151,,148,,143,,138,,131,,122,,110,,102,,95,
15,"196385",196385,0.500000,Transmission,MiniPAT,28-Jan-2020,03:56:15,1,33,,,,,252,23:00:00 27-Jan-2020,24,23.9,Dawn,300,176,240,,,0,,6974,121,,131,,139,,145,,150,,153,,156,,158,,160,
16,"196385",196385,0.500000,Transmission,MiniPAT,29-Jan-2020,19:07:30,1,37,,,,,656,00:00:00 30-Jan-2020,5,24.0,Dusk,300,48,112,,,0,,55288,129,,118,,106,,126,,82,,60,,54,,55,,55,
17,"196385",196385,0.500000,Transmission,MiniPAT,30-Jan-2020,04:00:00,1,37,,,,,656,00:00:00 30-Jan-2020,5,24.0,Dawn,300,304,656,,,0,,56315,147,,122,,135,,150,,127,,138,,104,,130,,142,
18,"196385",196385,0.500000,Transmission,MiniPAT,31-Jan-2020,03:26:15,1,40,,,,,648,06:00:00 31-Jan-2020,0,24.5,Dawn,600,16,16,,,0,,45990,88,,108,,129,,149,,161,,172,,181,,186,,190,
19,"196385",196385,0.500000,Transmission,MiniPAT,31-Jan-2020,14:57:30,1,40,,,,,16,06:00:00 31-Jan-2020,0,24.5,Dusk,600,16,16,,,0,,57269,183,,172,,163,,143,,123,,103,,87,,76,,71,
20,"196385",196385,0.500000,Transmission,MiniPAT,02-Feb-2020,03:27:30,1,39,Argos-3,02:52:06 03-Feb-2020,21.8740,38.0528,16,03:00:00 02-Feb-2020,0,24.0,Dawn,600,16,16,,,0,,29771,96,,113,,135,,161,,167,,177,,181,,184,,190,
21,"196385",196385,0.500000,Transmission,MiniPAT,02-Feb-2020,15:00:00,1,39,Argos-3,02:52:06 03-Feb-2020,21.8740,38.0528,16,03:00:00 02-Feb-2020,0,24.0,Dusk,600,16,16,,,0,,14006,185,,179,,168,,154,,128,,108,,94,,79,,75,
22,"196385",196385,0.500000,Transmission,MiniPAT,04-Feb-2020,03:26:15,1,32,Argos-3,18:38:00 03-Feb-2020,21.8493,37.9637,16,00:00:00 04-Feb-2020,0,24.1,Dawn,450,16,16,,,0,,17518,96,,109,,126,,147,,158,,164,,174,,179,,185,
23,"196385",196385,0.500000,Transmission,MiniPAT,04-Feb-2020,15:02:30,1,32,Argos-3,03:49:55 05-Feb-2020,21.6443,37.6329,,00:00:00 04-Feb-2020,0,24.1,Dusk,450,16,16,,,0,,1710,176,,169,,162,,150,,136,,119,,105,,93,,84,
24,"196385",196385,0.500000,Transmission,MiniPAT,05-Feb-2020,03:08:45,1,26,Argos-3,03:49:55 05-Feb-2020,21.6443,37.6329,16,04:00:00 05-Feb-2020,0,24.1,Dawn,450,16,16,,,0,,40763,85,,98,,113,,130,,148,,163,,170,,177,,181,
25,"196385",196385,0.500000,Transmission,MiniPAT,05-Feb-2020,14:38:45,1,26,Argos-3,03:49:55 05-Feb-2020,21.6443,37.6329,16,04:00:00 05-Feb-2020,0,24.1,Dusk,600,16,16,,,0,,26524,183,,178,,172,,163,,144,,117,,101,,89,,84,
